Detector Type,Descriptor Type,TTC Lidar, TTC Camera,diff
SHITOMASI,BRISK,12.2891,13.2738,0.9847
SHITOMASI,BRISK,13.3547,12.186,1.1687
SHITOMASI,BRISK,16.3845,12.4843,3.9002
SHITOMASI,BRISK,14.0764,13.5338,0.5426
SHITOMASI,BRISK,12.7299,12.6602,0.069700000000001
SHITOMASI,BRISK,13.7511,12.9568,0.7943
SHITOMASI,BRISK,13.7314,15.0311,1.2997
SHITOMASI,BRISK,13.7901,11.6354,2.1547
SHITOMASI,BRISK,12.059,12.4906,0.431600000000001
SHITOMASI,BRISK,11.8642,11.7451,0.1191
SHITOMASI,BRISK,11.9682,12.1722,0.204000000000001
SHITOMASI,BRISK,9.88711,12.0293,2.14219
SHITOMASI,BRISK,9.42504,13.6077,4.18266
SHITOMASI,BRISK,9.30215,12.725,3.42285
SHITOMASI,BRISK,8.3212,12.8085,4.4873
SHITOMASI,BRISK,8.89867,9.73454,0.835870000000002
SHITOMASI,BRISK,11.0301,12.677,1.6469
SHITOMASI,BRISK,8.53557,10.7133,2.17773
SHITOMASI,BRIEF,12.2891,13.0861,0.797000000000001
SHITOMASI,BRIEF,13.3547,13.8102,0.455500000000001
SHITOMASI,BRIEF,16.3845,11.0783,5.3062
SHITOMASI,BRIEF,14.0764,12.9702,1.1062
SHITOMASI,BRIEF,12.7299,12.1074,0.622500000000001
SHITOMASI,BRIEF,13.7511,12.4359,1.3152
SHITOMASI,BRIEF,13.7314,13.6717,0.059700000000001
SHITOMASI,BRIEF,13.7901,11.2653,2.5248
SHITOMASI,BRIEF,12.059,11.3645,0.6945
SHITOMASI,BRIEF,11.8642,11.8697,0.0055
SHITOMASI,BRIEF,11.9682,12.1794,0.2112
SHITOMASI,BRIEF,9.88711,10.6,0.71289
SHITOMASI,BRIEF,9.42504,12.5068,3.08176
SHITOMASI,BRIEF,9.30215,11.1071,1.80495
SHITOMASI,BRIEF,8.3212,12.8595,4.5383
SHITOMASI,BRIEF,8.89867,11.5882,2.68953
SHITOMASI,BRIEF,11.0301,8.47574,2.55436
SHITOMASI,BRIEF,8.53557,8.93181,0.396240000000001
SHITOMASI,ORB,12.2891,12.1206,0.1685
SHITOMASI,ORB,13.3547,12.9008,0.453899999999999
SHITOMASI,ORB,16.3845,12.6942,3.6903
SHITOMASI,ORB,14.0764,12.5963,1.4801
SHITOMASI,ORB,12.7299,12.2187,0.511200000000001
SHITOMASI,ORB,13.7511,13.1082,0.642899999999999
SHITOMASI,ORB,13.7314,14.2557,0.5243
SHITOMASI,ORB,13.7901,11.847,1.9431
SHITOMASI,ORB,12.059,11.3249,0.7341
SHITOMASI,ORB,11.8642,13.203,1.3388
SHITOMASI,ORB,11.9682,11.494,0.4742
SHITOMASI,ORB,9.88711,11.8924,2.00529
SHITOMASI,ORB,9.42504,12.803,3.37796
SHITOMASI,ORB,9.30215,12.3379,3.03575
SHITOMASI,ORB,8.3212,11.322,3.0008
SHITOMASI,ORB,8.89867,13.5461,4.64743
SHITOMASI,ORB,11.0301,11.7341,0.704000000000001
SHITOMASI,ORB,8.53557,10.3618,1.82623
SHITOMASI,FREAK,12.2891,13.6067,1.3176
SHITOMASI,FREAK,13.3547,12.6378,0.716899999999999
SHITOMASI,FREAK,16.3845,12.4249,3.9596
SHITOMASI,FREAK,14.0764,13.7589,0.317499999999999
SHITOMASI,FREAK,12.7299,11.9996,0.7303
SHITOMASI,FREAK,13.7511,13.8319,0.080800000000002
SHITOMASI,FREAK,13.7314,13.0836,0.6478
SHITOMASI,FREAK,13.7901,12.479,1.3111
SHITOMASI,FREAK,12.059,11.9735,0.0855
SHITOMASI,FREAK,11.8642,13.889,2.0248
SHITOMASI,FREAK,11.9682,12.0367,0.0685
SHITOMASI,FREAK,9.88711,11.5256,1.63849
SHITOMASI,FREAK,9.42504,12.9306,3.50556
SHITOMASI,FREAK,9.30215,11.5998,2.29765
SHITOMASI,FREAK,8.3212,8.69538,0.374180000000001
SHITOMASI,FREAK,8.89867,9.10914,0.210470000000001
SHITOMASI,FREAK,11.0301,12.6391,1.609
SHITOMASI,FREAK,8.53557,6.24073,2.29484
SHITOMASI,SIFT,12.2891,12.6214,0.3323
SHITOMASI,SIFT,13.3547,13.0114,0.343299999999999
SHITOMASI,SIFT,16.3845,11.6934,4.6911
SHITOMASI,SIFT,14.0764,12.1934,1.883
SHITOMASI,SIFT,12.7299,12.0656,0.664300000000001
SHITOMASI,SIFT,13.7511,12.8573,0.893799999999999
SHITOMASI,SIFT,13.7314,12.6612,1.0702
SHITOMASI,SIFT,13.7901,12.1185,1.6716
